"Dompierre-sur-Chalaronne",1400,46.133333,4.9
"Domsure",1270,46.416667,5.3
"Dortan",1590,46.316667,5.666667
"Douvres",1500,45.983333,5.366667
"Drom",1250,46.216667,5.366667
"Druillat",1160,46.066667,5.316667
"Échenevex",1170,46.316667,6.033333
"Étrez",1340,46.333333,5.183333
"Évosges",1230,45.958333,5.5
"Faramans",1800,45.9,5.116667
"Fareins",1480,46.016667,4.766667
"Farges",1550,46.166667,5.916667
"Feillens",1570,46.333333,4.883333
"Ferney-Voltaire",1210,46.25,6.116667
"Fitignieu",1260,45.933333,5.666667
"Flaxieu",1350,45.816667,5.733333
"Foissiat",1340,46.366667,5.183333
"Amareins Francheleins Ces",1090,46.066667,4.8
"Frans",1480,45.983333,4.783333
"Garnerans",1140,46.2,4.833333
"Genouilleux",1090,46.116667,4.783333
"Géovreissiat",1460,46.2,5.566667
"Géovreisset",1100,46.25,5.6
"Germagnat",1250,46.316667,5.45
"Gex",1170,46.333333,6.066667
"Giron",1130,46.233333,5.766667
"Gorrevod",1190,46.416667,4.95
"Le Grand-Abergement",1260,46.033333,5.666667
"Grand-Corent",1250,46.2,5.433333
"Granges",1580,46.233333,5.5
"Grièges",1290,46.25,4.85
"Grilly",1220,46.333333,6.116667
"Groissiat",1810,46.216667,5.6
"Groslée",1680,45.716667,5.566667
"Guéreins",1090,46.1,4.783333
"Hautecourt Romanèche",1250,46.158333,5.416667
"Hauteville-Lompnes",1110,45.966667,5.6
"Hostias",1110,45.9,5.533333
"Hotonnes",1260,46,5.683333
"Illiat",1140,46.183333,4.883333
"Injoux Génissiat",1200,46.05,5.783333
"Innimond",1680,45.783333,5.566667
"Izenave",1430,46.033333,5.533333
"Izernore",1580,46.216667,5.55
"Izieu",1300,45.65,5.633333
"Jassans-Riottier",1480,45.983333,4.75
"Jasseron",1250,46.216667,5.333333
"Jayat",1340,46.366667,5.116667
"Journans",1250,46.15,5.333333
"Joyeux",1800,45.95,5.1
"Jujurieux",1640,46.033333,5.416667
"Labalme",1450,46.1,5.483333
"Lagnieu",1150,45.9,5.35
"Laiz",1290,46.25,4.883333
"Lalleyriat",1130,46.15,5.716667
"Lancrans",1200,46.133333,5.833333
"Lantenay",1430,46.05,5.533333
"Lapeyrouse",1330,45.983333,4.966667
"Lavours",1350,45.8,5.766667
"Léaz",1200,46.1,5.883333
"Lélex",1410,46.3,5.95
"Lent",1240,46.116667,5.2
"Lescheroux",1560,46.4,5.15
"Leyment",1150,45.916667,5.3
"Leyssard",1450,46.166667,5.466667
"Lhuis",1680,45.75,5.533333
"Lilignod",1260,45.95,5.683333
"Lochieu",1260,45.933333,5.716667
"Lompnas",1680,45.8,5.516667
"Lompnieu",1260,45.966667,5.65
"Loyes",1800,45.933333,5.233333
"Loyettes",1360,45.766667,5.2
"Lurcy",1090,46.066667,4.766667
"Luthézieu",1260,45.9,5.666667
"Magnieu",1300,45.783333,5.716667
"Maillat",1430,46.133333,5.55
"Malafretaz",1340,46.316667,5.15
"Mantenay-Montlin",1560,46.416667,5.083333
"Manziat",1570,46.35,4.9
"Marboz",1851,46.333333,5.25
"Marchamp",1680,45.783333,5.55
"Marignieu",1300,45.8,5.716667
"Marlieux",1240,46.066667,5.066667
"Marsonnas",1340,46.333333,5.066667
"Martignat",1810,46.216667,5.6
"Massieux",1600,45.916667,4.833333
"Massignieu-de-Rives",1300,45.75,5.766667
"Matafelon-Granges",1580,46.266667,5.566667
"Meillonnas",1370,46.25,5.35
"Mérignat",1450,46.066667,5.433333
"Meximieux",1800,45.9,5.2
"Bohas-Meyriat-Rignat",1250,46.133333,5.4
"Mézériat",1660,46.233333,5.033333
"Mijoux",1170,46.366667",6
"Mionnay",1390,45.9,4.933333
"Misérieux",1600,45.983333,4.816667
"Moëns",1280,46.266667,6.1
"Mogneneins",1140,46.133333,4.816667
"Mollon",1800,45.95,5.25
"Montagnat",1250,46.166667,5.283333
"Montagnieu",1470,45.8,5.466667
"Montanges",1200,46.166667,5.8
"Montceaux",1090,46.1,4.8
"Montcet",1310,46.2,5.116667
"Le Montellier",1800,45.933333,5.066667
"Monthieux",1390,45.95,4.933333
"Montluel",1120,45.85,5.05
"Montmerle-sur-Saône",1090,46.083333,4.766667
"Montracol",1310,46.183333,5.116667
"Montrevel-en-Bresse",1340,46.333333,5.133333
"Murs-et-Gélignieux",1300,45.633333,5.666667
"Nantua",1460,46.15,5.616667
"Napt",1580,46.2,5.5
"Nattages",1300,45.733333,5.766667
"Neuville-les-Dames",1400,46.166667",5
"Neuville-sur-Ain",1160,46.083333,5.366667
"Les Neyrolles",1130,46.133333,5.633333
"Nièvroz",1120,45.833333,5.066667
"Nivollet-Montgriffon",1230,45.983333,5.433333
"Ochiaz",1200,46.116667,5.783333
"Oncieu",1230,45.95,5.466667
"Ordonnaz",1510,45.833333,5.533333
"Ornex",1210,46.283333,6.1
"Outriaz",1430,46.066667,5.55
"Oyonnax",1100,46.25,5.666667
"Ozan",1190,46.383333,4.916667
"Parcieux",1600,45.916667,4.816667
"Parves",1300,45.75,5.75
"Passin",1260,45.933333,5.7
"Péron",1630,46.2,5.933333
"Péronnas",1960,46.183333,5.2
"Pérouges",1800,45.9,5.183333
"Perrex",1540,46.233333,4.983333
"Le Petit-Abergement",1260,46.033333,5.65
"Peyriat",1430,46.15,5.516667
"Peyzieux-sur-Saône",1140,46.116667,4.816667
"Pirajoux",1270,46.383333,5.3
"Pizay",1120,45.883333,5.083333
"Plagne",1130,46.183333,5.733333
"Le Plantay",1330,46.016667,5.083333
"Le Poizat",1130,46.15,5.7
"Polliat",1310,46.25,5.133333
"Pollieu",1350,45.8,5.75
"Poncin",1450,46.083333,5.4
"Pont-d'Ain",1160,46.05,5.333333
"Pont-de-Vaux",1190,46.433333,4.933333
"Pont-de-Veyle",1290,46.266667,4.883333
"Port",1460,46.166667,5.566667
"Pougny",1550,46.133333,5.95
"Pouillat",1250,46.333333,5.433333
"Prémeyzel",1300,45.683333,5.65
"Prémillieu",1110,45.866667,5.566667
"Pressiat",1370,46.333333,5.383333
"Prévessin-Moens",1280,46.25,6.083333
"Priay",1160,46,5.283333
"Pugieu",1510,45.816667,5.65
"Ramasse",1250,46.2,5.35
"Rancé",1390,45.966667,4.866667
"Relevant",1990,46.083333,4.95
"Replonges",1620,46.3,4.883333
"Revonnas",1250,46.166667,5.333333
"Reyrieux",1600,45.933333,4.816667
"Reyssouze",1190,46.433333,4.916667
"Rignat",1250,46.15,5.366667
"Rignieux-le-Franc",1800,45.933333,5.183333
"Romanèche",1250,46.183333,5.433333
"Romans",1400,46.116667,5.033333
"Rossillon",1510,45.833333,5.6
"Ruffieu",1260,46,5.666667
"Saint-Alban",1450,46.1,5.45
"Saint-André-de-Bâgé",1380,46.3,4.916667
"Saint-André-de-Corcy",1390,45.916667,4.95
"Saint-André-d'Huiriat",1290,46.216667,4.916667
"Saint-André-le-Bouchoux",1240,46.116667,5.083333
"Saint-André-sur-Vieux-Jonc",1240,46.15,5.066667
"Saint-Bénigne",1190,46.433333,4.966667
"Saint-Benoît",1300,45.7,5.583333
"Saint-Bois",1300,45.7,5.633333
"Saint-Champ-Chatonod",1300,45.783333,5.733333
"Saint-Cyr-sur-Menthon",1380,46.266667,4.983333
"Saint-Denis-lès-Bourg",1000,46.2,5.2
"Saint-Denis-en-Bugey",1500,45.95,5.333333
"Saint-Didier-d'Aussiat",1340,46.3,5.066667
"Saint-Didier-de-Formans",1600,45.95,4.783333
"Saint-Didier-sur-Chalaronne",1140,46.166667,4.816667
"Saint-Éloi",1800,45.933333,5.15
"Saint-Étienne-du-Bois",1370,46.283333,5.283333
"Saint-Étienne-sur-Chalaronne",1140,46.15,4.866667
"Saint-Étienne-sur-Reyssouze",1190,46.4",5
"Sainte-Euphémie",1600,45.966667,4.783333
"Saint-Genis-Pouilly",1630,46.25,6.016667
"Saint-Genis-sur-Menthon",1380,46.283333,5.016667
"Saint-Georges-sur-Renon",1400,46.1,5.033333
"Saint-Germain-de-Joux",1130,46.183333,5.733333
"Saint-Germain-les-Paroisses",1300,45.766667,5.616667
"Saint-Germain-sur-Renon",1240,46.083333,5.05
"Saint-Jean-de-Gonville",1630,46.216667,5.95
"Saint-Jean-de Niost",1800,45.833333,5.216667
"Saint-Jean-de-Thurigneux",1390,45.95,4.883333
"Saint-Jean-sur-Reyssouze",1560,46.4,5.066667
"Saint-Jean-sur-Veyle",1290,46.25,4.916667
"Sainte-Julie",1150,45.883333,5.283333
"Saint-Julien-sur-Reyssouze",1560,46.4,5.116667
"Saint-Julien-sur-Veyle",1540,46.2,4.95
"Saint-Laurent-sur-Saône",1620,46.3,4.833333
"Saint-Martin-de-Bavel",1510,45.85,5.683333
"Saint-Martin-du-Frêne",1430,46.133333,5.55
"Saint-Martin-du-Mont",1160,46.1,5.333333
"Saint-Martin-le-Châtel",1310,46.283333,5.116667
"Saint-Maurice-de-Beynost",1700,45.833333,4.966667
"Saint-Maurice-de-Gourdans",1800,45.816667,5.2
"Saint-Maurice-de-Rémens",1500,45.95,5.283333
"Saint-Nizier-le-Bouchoux",1560,46.45,5.15
"Saint-Nizier-le-Désert",1320,46.05,5.15
"Sainte-Olive",1330,46.016667,4.933333
"Saint-Paul-de-Varax",1240,46.1,5.133333
"Saint-Rambert-en-Bugey",1230,45.95,5.433333
"Saint-Rémy",1310,46.183333,5.166667
"Saint-Sorlin-en-Bugey",1150,45.883333,5.366667
"Saint-Trivier-de-Courtes",1560,46.466667,5.083333
"Saint-Trivier-sur-Moignans",1990,46.066667,4.9
"Saint-Vulbas",1150,45.833333,5.283333
"Salavre",1270,46.366667,5.35
"Samognat",1580,46.25,5.583333
"Sandrans",1400,46.066667,4.983333
"Sault-Brénaz",1150,45.85,5.416667
"Sauverny",1220,46.316667,6.116667
"Savigneux",1480,46,4.85
"Ségny",1170,46.3,6.083333
"Seillonnaz",1470,45.8,5.483333
"Sergy",1630,46.25",6
"Sermoyer",1190,46.5,4.983333
"Serrières-sur-Ain",1450,46.15,5.45
"Servas",1240,46.133333,5.166667
"Servignat",1560,46.433333,5.066667
"Simandre-sur-Suran",1250,46.216667,5.416667
"Songieu",1260,45.966667,5.7
"Sonthonnax-la-Montagne",1580,46.233333,5.533333
"Souclin",1150,45.866667,5.416667
"Sulignat",1400,46.166667,4.966667
"Surjoux",1420,46.016667,5.8
"Sutrieu",1260,45.95,5.65
"Talissieu",1510,45.866667,5.716667
"Tenay",1230,45.916667,5.5
"Thézillieu",1110,45.883333,5.6
"Thil",1120,45.816667,5.016667
"Thoissey",1140,46.166667,4.8
"Torcieu",1230,45.916667,5.4
"Tossiat",1250,46.133333,5.316667
"Toussieux",1600,45.966667,4.833333
"Tramoyes",1390,45.866667,4.966667
"La Tranclière",1160,46.116667,5.266667
"Trévoux",1600,45.933333,4.766667
"Valeins",1140,46.116667,4.866667
"Vandeins",1660,46.216667,5.083333
"Varambon",1160,46.033333,5.316667
"Vaux-en-Bugey",1150,45.916667,5.35
"Verjon",1270,46.35,5.35
"Vernoux",1560,46.483333,5.116667
"Versailleux",1330,45.983333,5.1
"Vesancy",1170,46.35,6.083333
"Vescours",1560,46.466667,5.033333
"Vésines",1570,46.35,4.866667
"Veyziat",1100,46.283333,5.633333
"Vieu-d'Izenave",1430,46.083333,5.533333
"Vieu",1260,45.9,5.683333
"Villars-les-Dombes",1330,46,5.016667
"Villebois",1150,45.85,5.433333
"Villemotier",1270,46.35,5.316667
"Villereversure",1250,46.183333,5.383333
"Villes",1200,46.083333,5.783333
"Viriat",1440,46.25,5.216667
"Virieu-le-Grand",1510,45.85,5.65
"Virieu-le-Petit",1260,45.9,5.716667
"Virignin",1300,45.716667,5.716667
"Volognat",1460,46.183333,5.516667
"Vongnes",1350,45.816667,5.716667
"Vonnas",1540,46.216667",5
"Vouvray",1200,46.116667,5.783333
"La Valbonne",1360,45.85,5.133333
"Chânes",1120,45.85,5.15
"Marfoz",1800,45.883333,5.15
"Le Mas Rillier",1700,45.833333,4.95
"Abbécourt",2300,49.6,3.183333
"Achery",2800,49.683333,3.383333
"Acy",2200,49.35,3.416667
"Agnicourt-et-Séchelles",2340,49.716667,3.95
"Aguilcourt",2190,49.4,3.966667
"Aisonville-et-Bernoville",2110,49.933333,3.533333
"Aizelles",2820,49.483333,3.816667
"Alaincourt",2240,49.75,3.366667
"Allemant",2320,49.466667,3.45
"Ambleny",2290,49.383333,3.183333
"Ambrief",2200,49.316667,3.4
"Amifontaine",2190,49.483333,3.916667
"Amigny-Rouy",2700,49.6,3.3
"Ancienville",2600,49.216667,3.216667
